variable,ic_mean,ic_std,ic_tstat,ic_n_months,oos_r2_univariate
resff3_6_1,0.009252024849437946,0.040206887623538724,1.8975393500858375,68,-0.000577001140627198
gp_atl1,0.013925791951101264,0.06548324566472612,1.753655016696763,68,-0.0005259513946951344
nfna_gr1a,0.005096602233422058,0.024621697847455822,1.706935847426086,68,-0.0006059360226404742
lti_gr1a,0.0050951961137804804,0.026433110871187993,1.58952397716095,68,-0.0005125847875002698
dgp_dsale,0.005956468670354525,0.03227962127246495,1.5216504107192517,68,-0.000575704319028203
seas_1_1an,0.010064135234582368,0.05511008854768757,1.5059127537701853,68,-0.0006176029721505216
ret_1_0,0.011831325841821777,0.07248448429314969,1.3459930525170671,68,-0.0005980011854174183
saleq_su,0.0052260305011126865,0.03419690490303768,1.260200349703178,68,-0.0005943354105943932
netdebt_me,0.01140524294782252,0.07566680092822001,1.242949900956237,68,-0.0007721889127043635
qmj_growth,0.0037787956515745393,0.02772201101966415,1.124043533350799,68,-0.0006094557982998516
ncol_gr1a,0.0027679040344336246,0.02732971872755493,0.835161225719948,68,-0.0006239435215045219
dolvol_126d,0.0059670397172011235,0.0638516014280737,0.7706223329101612,68,-0.0006046351986987997
dsale_dinv,0.0020606488317486057,0.027592788353495233,0.615832853262827,68,-0.0005930672825180672
seas_2_5an,0.002736532330930411,0.04076146659558806,0.5536116725282421,68,-0.0005784048348225213
cowc_gr1a,0.0016523745803114318,0.02655034837688749,0.5132071964555041,68,-0.0006058628843346181
saleq_gr1,0.0027943470904401146,0.04779315552128504,0.48213548918697535,68,-0.000661209233101312
tangibility,0.002940532274330959,0.060475990627633265,0.40095664533238423,68,-0.0006059713256434396
ocf_at_chg1,0.00163280722165777,0.03944499317316901,0.3413480951364772,68,-0.0006068117791826477
seas_2_5na,-6.762521710875428e-05,0.04402555100106634,-0.012666549617424073,68,-0.0007123263109249933
rmax5_rvol_21d,-0.00021345207851862003,0.047692678525798796,-0.03690652288542917,68,-0.0006325686009562848
coa_gr1a,-0.0009586047626033126,0.039753256594236216,-0.19884804557152475,68,-0.0006182372868732688
sale_emp_gr1,-0.0008197237401756272,0.027456016640055675,-0.24619795426840366,68,-0.000623022539050444
capex_abn,-0.0008995526747596757,0.026026362677516887,-0.28501490890581066,68,-0.0005909794765281973
inv_gr1a,-0.0014962757201130233,0.03519286132048054,-0.35059967320604807,68,-0.0005837707375795365
capx_gr1,-0.0033668898827114197,0.03722023110524523,-0.7459406996689134,68,-0.0005927847853195445
coskew_21d,-0.005771217408764791,0.05764380618025422,-0.8255991594424498,68,-0.0006344288274093834
beta_60m,-0.007098352905428304,0.07026159262060751,-0.8330940903951816,68,-0.0006238031971055324
sti_gr1a,-0.0027724128185003583,0.025198921774473537,-0.9072571430475153,68,-0.0005854660954671687
sale_gr1,-0.005727633139483059,0.04751328422618847,-0.9940645780853107,68,-0.0006545942022717632
betadown_252d,-0.012210143875760825,0.10005952600304843,-1.0062752626315,68,-0.0005915932390552214
ppeinv_gr1a,-0.004294948818573676,0.034400299326612545,-1.0295566016718631,68,-0.0005805689355171673
betabab_1260d,-0.010616197087771046,0.08463400440734667,-1.0343762472724265,68,-0.0005872827705304395
col_gr1a,-0.004704750161619137,0.03548375842648942,-1.0933555360931713,68,-0.0006031956239478387
be_gr1a,-0.009856480223455987,0.0604765001952318,-1.343970267026952,68,-0.0006023786857858315
inv_gr1,-0.0052558186811069,0.03151902819448711,-1.3750611495749434,68,-0.000618940351226227
