utc,experiment,family,variant,hypothesis,params,discovery_window,selection_window,eval_window,test_touched,n_variants_in_family,ic,ic_t,ir_net,ir_gross,max_dd_net,paired_net_t_vs_base,decision,reason
2026-09-24T09:02:21+00:00,desk_27_confirmation_test,confirmation,A0,pre-registered TEST confirmation (PREREGISTRATION.md),"{""arm"": ""A0""}",dev,dev,test,True,7,0.0454,2.3942,0.6598,0.7431,-0.0960,nan,reference,single pre-registered TEST look
2026-09-24T09:02:21+00:00,desk_27_confirmation_test,confirmation,A1,pre-registered TEST confirmation (PREREGISTRATION.md),"{""arm"": ""A1"", ""si_cap"": ""0.05""}",dev,dev,test,True,7,0.0454,2.3942,0.3029,0.4017,-0.0882,-2.0038,fail,single pre-registered TEST look
2026-09-24T09:02:22+00:00,desk_27_confirmation_test,confirmation,A2,pre-registered TEST confirmation (PREREGISTRATION.md),"{""arm"": ""A2""}",dev,dev,test,True,7,0.0454,2.3942,0.6429,0.7273,-0.1021,-0.4910,fail,single pre-registered TEST look
2026-09-24T09:02:22+00:00,desk_27_confirmation_test,confirmation,A3,pre-registered TEST confirmation (PREREGISTRATION.md),"{""arm"": ""A3""}",dev,dev,test,True,7,0.0174,1.1152,-0.2333,-0.1102,-0.1417,-1.7884,fail,single pre-registered TEST look
2026-09-24T09:02:22+00:00,desk_27_confirmation_test,confirmation,A4,pre-registered TEST confirmation (PREREGISTRATION.md),"{""arm"": ""A4""}",dev,dev,test,True,7,0.0170,0.8949,-0.6439,-0.5526,-0.2489,-2.6186,fail,single pre-registered TEST look
2026-09-24T09:02:22+00:00,desk_27_confirmation_test,confirmation,A5,pre-registered TEST confirmation (PREREGISTRATION.md),"{""arm"": ""A5""}",dev,dev,test,True,7,0.0251,1.8267,0.8564,0.9553,-0.0769,-0.0277,fail,single pre-registered TEST look
2026-09-24T09:02:23+00:00,desk_27_confirmation_test,confirmation,A6,pre-registered TEST confirmation (PREREGISTRATION.md),"{""arm"": ""A6"", ""si_cap"": ""0.05""}",dev,dev,test,True,7,0.0174,1.1152,-0.7241,-0.6120,-0.2190,-2.2292,fail,single pre-registered TEST look
2026-09-24T09:02:23+00:00,desk_27_confirmation_test,confirmation_standalone,S1_novneg_band_0.5_2B,pre-registered replication,{},dev,dev,test,True,5,0.0378,2.8900,,,,,replicated,single pre-registered TEST look
2026-09-24T09:02:23+00:00,desk_27_confirmation_test,confirmation_standalone,S2_novneg_large_tercile,pre-registered replication,{},dev,dev,test,True,5,0.0093,1.5868,,,,,not replicated,single pre-registered TEST look
2026-09-24T09:02:23+00:00,desk_27_confirmation_test,confirmation_standalone,S3_novneg_risk_partial_ivol,pre-registered replication,{},dev,dev,test,True,5,0.0291,4.7064,,,,,replicated,single pre-registered TEST look
2026-09-24T09:02:23+00:00,desk_27_confirmation_test,confirmation_standalone,S4_b1_ic_highSI_minus_lowSI,pre-registered replication,{},dev,dev,test,True,5,0.0501,3.0262,,,,,not replicated,single pre-registered TEST look
2026-09-24T09:02:23+00:00,desk_27_confirmation_test,confirmation_standalone,S5_gbm_test_ic,pre-registered replication,{},dev,dev,test,True,5,0.0174,1.1152,,,,,not replicated,single pre-registered TEST look
2026-09-24T09:04:21+00:00,desk_28_posthoc_diagnostics,posthoc,diagnostics,"explain desk_27 (post-hoc, no selection)",{},n/a,n/a,dev+test (saved frames),True,1,,,,,,,descriptive,post-hoc diagnostics of the single TEST look; no new arm
2026-09-24T09:05:08+00:00,desk_29_final_candidate,final_outputs,B1,FIAM-format outputs (arm already in desk_27),{},dev,dev,test,True,1,0.0454,2.3942,0.6598,0.7431,-0.0960,,output,output generation of a desk_27 arm; no selection
2026-09-24T09:05:14+00:00,desk_29_final_candidate,final_outputs,A5_jkp13z,FIAM-format outputs (arm already in desk_27),{},dev,dev,test,True,1,0.0251,1.8267,0.8564,0.9553,-0.0769,,output,output generation of a desk_27 arm; no selection
2026-09-24T18:27:30+00:00,desk_30_text_untested_uses,text_untested_test,X1_fresh_minus_stale_surprise_ic,untested text use (economic hypothesis),{},dev,dev,dev,False,4,0.0246,2.6262,,,,,discovery,
2026-09-24T18:27:30+00:00,desk_30_text_untested_uses,text_untested_test,X2_nonmerger_minus_merger_b1_ic,untested text use (economic hypothesis),{},dev,dev,dev,False,4,0.0542,2.8906,,,,,discovery,
2026-09-24T18:27:30+00:00,desk_30_text_untested_uses,text_untested_test,X3_nonnews_minus_news_b1_ic,untested text use (economic hypothesis),{},dev,dev,dev,False,4,0.0097,1.0857,,,,,no evidence,
2026-09-24T18:27:30+00:00,desk_30_text_untested_uses,text_untested_test,X4_book_text_risk_vs_abs_return,untested text use (economic hypothesis),{},dev,dev,dev,False,4,nan,1.6126,,,,,discovery,
